uk dubai london uk dubai,neutral,0.0
caught glimpse airindia overhead leaving york delhi ground avgeek,neutral,0.0
yup airindia biggest terrorist murders history,neutral,0.0
myclicks roadside photography wildlife airport airindia foodie hatefamily,neutral,0.0
lease ipads replace defective screens,neutral,0.0
limited recruitment air india limited invites applications indian national,negative,-0.0714285714286
flyai airindia transported pairs live corneas domestic network beating tight deadline,negative,-0.0140692640693
awating details suit,neutral,0.0
tourism flagged jammu bathinda flight service jammu airport,neutral,0.0
lease ipads replace defective,neutral,0.0
narendramodi airindia,neutral,0.0
foreign visit public information demand,negative,-0.0625
flight a1492 reschedule hence daughter not able catch connecting flight a1473 mar,negative,-0.25
airindia lease ipads replace defective,neutral,0.0
chandigarhairport airindia flight not delhi due technical fault lot passengers,negative,-0.0625
bills airindia charter plane travel cic news,neutral,0.0
information commission directs external affairs ministry disclose records related expenses incurred,neutral,0.0
india build airport runway mumbai value air india,neutral,0.0
ipads expected assist service recovery substitutes defective entertainment,negative,-0.1
happy glimpse queen,positive,0.8
people charge vishal dhotre daksha patil helped cuz recording,neutral,0.0
ur employees didnt allow board flight check line closing,neutral,0.0
oh unlike airlines provide passengers,neutral,0.0
baggage carry home country dubai pack trip fly air,positive,0.8
directs mea disclose bills airindia charter plane pm travel abroad,neutral,0.0
disclose bills airindia charter plane pm travel cic mea,neutral,0.0
bills airindia charter plane pm travel cic mea,neutral,0.0
forget tell privatising airindia,neutral,0.0
bills airindia charter plane foreign cic,negative,-0.125
india lease ipads service recovery airindia leaseipads,neutral,0.0
ernest request plz upgrade ur staff uniforms equally upholstery,neutral,0.0
lease ipads service,neutral,0.0
amazing regularity airindia screws baggage delivery chennai minutes totally unacceptable,positive,0.3
cpc honor airindia mastermind,neutral,0.0
b787 dreamliner airindia time lapse boeinginspires,neutral,0.0
flyai decked inaugural airindia nonstop flight amritsar birmingham,neutral,0.0
recruitment safety emergency procedures instructor,neutral,0.0
launch flight service tuesday,neutral,0.0
express increase flights doha,neutral,0.0
lodge complaint airindia feel airlines bunch brainless,negative,-0.3
flighthub aircanada airindia flight booking months airport flight,neutral,0.0
passengers arrested forgery igi airport central industrial security force,neutral,0.0
airindia invites bids ipads replace defective video screens,neutral,0.0
invites bids ipads replace defective video screens,neutral,0.0
airindia boeing787 good time flying experience good food good service visitagain,positive,0.7
bit nostalgic pooh airindia,negative,-0.5
poor service lost language mumbai airport update regarding past,negative,-0.325
aviation businesses,neutral,0.0
fees airlines cost bomb imagined pay apart fare change airindia airlines,neutral,0.0
champion india public sector bangalore event,neutral,0.0
flyai airindia badminton teams won india public sector sports promotion board badminton tournament team,neutral,0.0
businesses,neutral,0.0
airindia limited via,negative,-0.0714285714286
statement disinvestment aviators dreamtofly,neutral,0.0
not route indian celebi,neutral,0.0
doc wonder guys plan survive tough competition filled market pathetic,negative,-0.32962962963
good monday morning delhiairport aviation delhi airport,positive,0.7
video cdnpoli sikhism canada terry milewski required,neutral,0.0
flights sydney melbourne delhi fly direct delhi air india,positive,0.45
space research organisation isro recruitment airindia,neutral,0.0
landed delhi mins clue passengers airindia aviationministry,neutral,0.0
airindia crafty foreign plot liberals shoot themselves foot,positive,0.1375
india delhi india book,neutral,0.0
airindia ai113 boeing787 boeing7878 landing gear deployed,neutral,0.0
list businesses terrorist supporters own bc canada spend time,positive,0.6
airindiaexpress not airindia,neutral,0.0
remember awful lavatory airindia ll puke nightmare,negative,-1.0
airindia badminton teams won india public sector sports promotion board badminton,neutral,0.0
india celebrates resumption direct flights birmingham amritsar bhangra onboard,positive,0.1
huge relief cramped airindia definitely pay attention cleanliness,positive,0.2
airindia airindia badminton teams won india public sector sports promotion board,neutral,0.0
bid value airindia fall government buyers employees payroll,neutral,0.0
web checkin spend time bag drop disappointing change value time airindia,negative,-0.6
airindia please windows motog5splus edited,neutral,0.0
government expects complete disinvestment airindia percent ownership,positive,0.1
government expects complete disinvestment airindia percent,positive,0.1
airindia badminton teams won india public sector sports promotion,neutral,0.0
airindia flydomestic air india look ffp miles not redeemed leh,neutral,0.0
odds am workshop people fly airindia,positive,0.8
airindia doing abudhabi ai3941 ai3943,neutral,0.0
complains citizen afghanistan praised te services airindia,neutral,0.0
net session forward hyderabad airindia,neutral,0.0
continues bookings flight whoch claim overbooked,neutral,0.0
india claims overbooked confirmed ticket else outside india sued,positive,0.2
flyai airindia slautes fg offr avanichaturvedi becoming indian woman fly fighter aircraft,positive,0.625
india cancels tickets prior information vouch book air india flight,neutral,0.0
happening india air india conveniently cancels tickets flight pushes customers,neutral,0.0
response customer care hold called intolerable,neutral,0.0
worst behaviour airindia staff airport empathy fr nt consider plead,negative,-1.0
aircanada airindia flight booking months airport,neutral,0.0
mitwa miss sridevi fortunate met superstar,positive,0.4
treat queen sky fly purpose mission fly,positive,0.8
canadians initiated modern world terrorism,positive,0.2
crafty foreign plot liberals shoot themselves foot,positive,0.1375
delhi india,neutral,0.0
airindia london delhi fare birmingham amritsar airline distance airport taxes,neutral,0.0
amazing passengers dazzling dhol performance impress sticking,positive,0.675
public service pairs eyes doctors,neutral,0.0
direct air india flight birmingham amritsar,positive,0.1
airindia transported pairs live corneas domestic network beating,positive,0.0681818181818
realised boarded flight time airindia,neutral,0.0
india map incorrect india not pak screen displaying route,neutral,0.0
talk privatization soon not,neutral,0.0
shame time fly airindia leaves experience,positive,0.8
tarekfatah eloquent article airindia bombing,neutral,0.0
launch jammu flight service,neutral,0.0
strategic disinvestment airindia good progress fm etgbs aviation,positive,0.7
disinvestment airindia good progress fm etgbs aviation,positive,0.7
flyai airindia offering airbus type rating courses world class stateoftheart central trg estt,neutral,0.0
